tweet_id,favorite_count,retweet_count
850019790995546112,18737,4354
849776966551130114,27859,6796
849668094696017920,0,4432
849412302885593088,14647,2822
849336543269576704,10534,1683
849051919805034497,38919,7603
848690551926992896,23225,3913
848324959059550208,22776,4142
848213670039564288,7528,644
848212111729840128,15003,2711
847978865427394560,0,2913
847971574464610304,0,394
847962785489326080,21694,4559
847842811428974592,5003,1186
847617282490613760,6455,376
847606175596138505,17318,3075
847251039262605312,18925,3907
847157206088847362,18335,5242
847116187444137987,19835,2869
846874817362120707,18582,3541
846514051647705089,41085,10346
846505985330044928,13035,2752
846153765933735936,29025,8145
846139713627017216,28743,9141
846042936437604353,14774,2581
845812042753855489,26958,7842
845677943972139009,23390,4371
845397057150107648,7074,1616
845306882940190720,21566,4844
845098359547420673,0,6924
844979544864018432,12650,2306
844973813909606400,13906,2840
844580511645339650,15266,2806
844223788422217728,12673,1985
843981021012017153,14080,2697
843856843873095681,19916,4160
843604394117681152,15662,2475
843235543001513987,19929,5385
842846295480000512,14192,3310
842765311967449089,6282,1175
842535590457499648,16877,3165
842163532590374912,22683,5246
842115215311396866,13005,2754
841833993020538882,0,13527
841680585030541313,23994,7139
841439858740625411,11702,3305
841320156043304961,18383,5009
841314665196081154,14711,4223
841077006473256960,21296,4878
840761248237133825,0,1619
840728873075638272,0,14563
840698636975636481,163,2
840696689258311684,11454,889
840632337062862849,8410,1619
840370681858686976,15310,4171
840268004936019968,17852,5204
839990271299457024,12509,2063
839549326359670784,25520,7050
839290600511926273,0,132
839239871831150596,25180,5918
838952994649550848,18332,3655
838921590096166913,10399,1852
838916489579200512,0,31
838831947270979586,0,9997
838561493054533637,10226,1229
838476387338051585,20933,4331
838201503651401729,0,9156
838150277551247360,1567,301
838085839343206401,133,1
838083903487373313,16431,2831
837820167694528512,31770,7133
837482249356513284,3597,405
837471256429613056,11965,2058
837110210464448512,15049,2173
836989968035819520,11925,2107
836753516572119041,18089,4254
836677758902222849,11824,2019
836648853927522308,0,506
836397794269200385,0,25006
836380477523124226,13879,2745
836260088725786625,19913,3974
836001077879255040,17860,3878
